"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2048","Successful login with valid credentials","","Sat Dec 27 06:21:58 UTC 2025","passed","Sat Dec 27 06:22:00 UTC 2025","","","",""
"","994","Successful login using standard user","","Sat Dec 27 06:22:02 UTC 2025","passed","Sat Dec 27 06:22:03 UTC 2025","","","",""
"","1025","Successful login with valid credentials","","Sat Dec 27 06:22:00 UTC 2025","passed","Sat Dec 27 06:22:01 UTC 2025","","","",""
"","987","Successful login with valid credentials","","Sat Dec 27 06:22:01 UTC 2025","passed","Sat Dec 27 06:22:02 UTC 2025","","","",""
