"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1349","Successful login with valid credentials","","2025-12-26","passed","2025-12-26","","","",""
"","1392","Successful login with valid credentials","","2025-12-26","passed","2025-12-26","","","",""
"","1357","Successful login using standard user","","2025-12-26","passed","2025-12-26","","","",""
"","1389","Successful login with valid credentials","","2025-12-26","passed","2025-12-26","","","",""
